Model,AUC,HL_Chi2,HL_p,HL_Good,Brier
SVM,0.8444783573806881,27.52425098953933,0.0005736994798283268,False,0.15240774343848654
Random Forest Optimized,0.8442008879023308,11.701003555718128,0.1650511872610474,True,0.14081650374890092
Random Forest,0.8423973362930077,21.448266976609187,0.006047317969384625,False,0.14291771951971738
Voting Soft,0.8417036625971144,18.831050646698777,0.015789774655484812,False,0.1481277114273946
XGBoost Optimized,0.8397613762486126,258.42590068639265,0.0,False,0.17726935508889016
XGBoost,0.8349056603773585,171.31124139046858,0.0,False,0.18966707520346512
