Model,AUC,NB@0.1,NB@0.2,NB@0.3,NB@0.4,NB@0.5
SVM,0.8444783573806881,0.23045267489711932,0.17857142857142855,0.13454270597127738,0.11287477954144619,0.0582010582010582
Random Forest Optimized,0.8442008879023308,0.21987066431510874,0.17328042328042326,0.14361300075585787,0.12874779541446207,0.10052910052910052
Random Forest,0.8423973362930077,0.21928277483833036,0.17328042328042326,0.12925170068027209,0.12169312169312167,0.10052910052910052
Voting Soft,0.8417036625971144,0.21810699588477364,0.17592592592592593,0.13151927437641722,0.11111111111111109,0.07936507936507936
XGBoost Optimized,0.8397613762486126,0.22457378012933568,0.17724867724867724,0.12849584278155707,0.1040564373897707,0.0582010582010582
