Model,AUC,AP,Recall,Precision
SVM,0.8444783573806881,0.638010735900074,1.0,0.2804232804232804
SVM,0.8444783573806881,0.638010735900074,1.0,0.28191489361702127
SVM,0.8444783573806881,0.638010735900074,1.0,0.28342245989304815
SVM,0.8444783573806881,0.638010735900074,1.0,0.2849462365591398
SVM,0.8444783573806881,0.638010735900074,1.0,0.2864864864864865
SVM,0.8444783573806881,0.638010735900074,1.0,0.28804347826086957
SVM,0.8444783573806881,0.638010735900074,1.0,0.2896174863387978
SVM,0.8444783573806881,0.638010735900074,1.0,0.29120879120879123
SVM,0.8444783573806881,0.638010735900074,1.0,0.292817679558011
SVM,0.8444783573806881,0.638010735900074,1.0,0.29444444444444445
SVM,0.8444783573806881,0.638010735900074,1.0,0.29608938547486036
SVM,0.8444783573806881,0.638010735900074,1.0,0.29775280898876405
SVM,0.8444783573806881,0.638010735900074,1.0,0.2994350282485876
SVM,0.8444783573806881,0.638010735900074,1.0,0.30113636363636365
SVM,0.8444783573806881,0.638010735900074,1.0,0.3028571428571429
SVM,0.8444783573806881,0.638010735900074,1.0,0.3045977011494253
SVM,0.8444783573806881,0.638010735900074,1.0,0.3063583815028902
SVM,0.8444783573806881,0.638010735900074,1.0,0.3081395348837209
SVM,0.8444783573806881,0.638010735900074,1.0,0.30994152046783624
SVM,0.8444783573806881,0.638010735900074,1.0,0.31176470588235294
SVM,0.8444783573806881,0.638010735900074,1.0,0.3136094674556213
SVM,0.8444783573806881,0.638010735900074,1.0,0.31547619047619047
SVM,0.8444783573806881,0.638010735900074,1.0,0.31736526946107785
SVM,0.8444783573806881,0.638010735900074,1.0,0.3192771084337349
SVM,0.8444783573806881,0.638010735900074,1.0,0.3212121212121212
SVM,0.8444783573806881,0.638010735900074,1.0,0.3231707317073171
SVM,0.8444783573806881,0.638010735900074,1.0,0.32515337423312884
SVM,0.8444783573806881,0.638010735900074,1.0,0.3271604938271605
SVM,0.8444783573806881,0.638010735900074,1.0,0.32919254658385094
SVM,0.8444783573806881,0.638010735900074,1.0,0.33125
SVM,0.8444783573806881,0.638010735900074,1.0,0.3333333333333333
SVM,0.8444783573806881,0.638010735900074,1.0,0.33544303797468356
SVM,0.8444783573806881,0.638010735900074,1.0,0.3375796178343949
SVM,0.8444783573806881,0.638010735900074,1.0,0.33974358974358976
SVM,0.8444783573806881,0.638010735900074,1.0,0.3419354838709677
SVM,0.8444783573806881,0.638010735900074,1.0,0.34415584415584416
SVM,0.8444783573806881,0.638010735900074,1.0,0.3464052287581699
SVM,0.8444783573806881,0.638010735900074,1.0,0.34868421052631576
SVM,0.8444783573806881,0.638010735900074,1.0,0.3509933774834437
SVM,0.8444783573806881,0.638010735900074,1.0,0.35333333333333333
SVM,0.8444783573806881,0.638010735900074,1.0,0.35570469798657717
SVM,0.8444783573806881,0.638010735900074,1.0,0.3581081081081081
SVM,0.8444783573806881,0.638010735900074,1.0,0.36054421768707484
SVM,0.8444783573806881,0.638010735900074,1.0,0.363013698630137
SVM,0.8444783573806881,0.638010735900074,1.0,0.36551724137931035
SVM,0.8444783573806881,0.638010735900074,1.0,0.3680555555555556
SVM,0.8444783573806881,0.638010735900074,1.0,0.3706293706293706
SVM,0.8444783573806881,0.638010735900074,1.0,0.3732394366197183
SVM,0.8444783573806881,0.638010735900074,1.0,0.375886524822695
SVM,0.8444783573806881,0.638010735900074,1.0,0.37857142857142856
SVM,0.8444783573806881,0.638010735900074,1.0,0.381294964028777
SVM,0.8444783573806881,0.638010735900074,1.0,0.38405797101449274
SVM,0.8444783573806881,0.638010735900074,1.0,0.38686131386861317
SVM,0.8444783573806881,0.638010735900074,1.0,0.3897058823529412
SVM,0.8444783573806881,0.638010735900074,1.0,0.3925925925925926
SVM,0.8444783573806881,0.638010735900074,1.0,0.39552238805970147
SVM,0.8444783573806881,0.638010735900074,1.0,0.39849624060150374
SVM,0.8444783573806881,0.638010735900074,1.0,0.4015151515151515
SVM,0.8444783573806881,0.638010735900074,1.0,0.40458015267175573
SVM,0.8444783573806881,0.638010735900074,1.0,0.4076923076923077
SVM,0.8444783573806881,0.638010735900074,1.0,0.4108527131782946
SVM,0.8444783573806881,0.638010735900074,1.0,0.4140625
SVM,0.8444783573806881,0.638010735900074,1.0,0.41732283464566927
SVM,0.8444783573806881,0.638010735900074,1.0,0.42063492063492064
SVM,0.8444783573806881,0.638010735900074,0.9811320754716981,0.416
SVM,0.8444783573806881,0.638010735900074,0.9811320754716981,0.41935483870967744
SVM,0.8444783573806881,0.638010735900074,0.9622641509433962,0.4146341463414634
SVM,0.8444783573806881,0.638010735900074,0.9622641509433962,0.4180327868852459
SVM,0.8444783573806881,0.638010735900074,0.9622641509433962,0.4214876033057851
SVM,0.8444783573806881,0.638010735900074,0.9622641509433962,0.425
SVM,0.8444783573806881,0.638010735900074,0.9622641509433962,0.42857142857142855
SVM,0.8444783573806881,0.638010735900074,0.9622641509433962,0.4322033898305085
SVM,0.8444783573806881,0.638010735900074,0.9622641509433962,0.4358974358974359
SVM,0.8444783573806881,0.638010735900074,0.9622641509433962,0.4396551724137931
SVM,0.8444783573806881,0.638010735900074,0.9622641509433962,0.4434782608695652
SVM,0.8444783573806881,0.638010735900074,0.9622641509433962,0.4473684210526316
SVM,0.8444783573806881,0.638010735900074,0.9433962264150944,0.4424778761061947
SVM,0.8444783573806881,0.638010735900074,0.9433962264150944,0.44642857142857145
SVM,0.8444783573806881,0.638010735900074,0.9433962264150944,0.45045045045045046
SVM,0.8444783573806881,0.638010735900074,0.9433962264150944,0.45454545454545453
SVM,0.8444783573806881,0.638010735900074,0.9245283018867925,0.44954128440366975
SVM,0.8444783573806881,0.638010735900074,0.9245283018867925,0.4537037037037037
SVM,0.8444783573806881,0.638010735900074,0.9245283018867925,0.45794392523364486
SVM,0.8444783573806881,0.638010735900074,0.9245283018867925,0.46226415094339623
SVM,0.8444783573806881,0.638010735900074,0.9056603773584906,0.45714285714285713
SVM,0.8444783573806881,0.638010735900074,0.9056603773584906,0.46153846153846156
SVM,0.8444783573806881,0.638010735900074,0.8867924528301887,0.4563106796116505
SVM,0.8444783573806881,0.638010735900074,0.8867924528301887,0.46078431372549017
SVM,0.8444783573806881,0.638010735900074,0.8867924528301887,0.46534653465346537
SVM,0.8444783573806881,0.638010735900074,0.8867924528301887,0.47
SVM,0.8444783573806881,0.638010735900074,0.8867924528301887,0.47474747474747475
SVM,0.8444783573806881,0.638010735900074,0.8867924528301887,0.47959183673469385
SVM,0.8444783573806881,0.638010735900074,0.8867924528301887,0.4845360824742268
SVM,0.8444783573806881,0.638010735900074,0.8867924528301887,0.4895833333333333
SVM,0.8444783573806881,0.638010735900074,0.8679245283018868,0.4842105263157895
SVM,0.8444783573806881,0.638010735900074,0.8490566037735849,0.4787234042553192
SVM,0.8444783573806881,0.638010735900074,0.8301886792452831,0.4731182795698925
SVM,0.8444783573806881,0.638010735900074,0.8301886792452831,0.4782608695652174
SVM,0.8444783573806881,0.638010735900074,0.8301886792452831,0.4835164835164835
SVM,0.8444783573806881,0.638010735900074,0.8301886792452831,0.4888888888888889
SVM,0.8444783573806881,0.638010735900074,0.8301886792452831,0.4943820224719101
SVM,0.8444783573806881,0.638010735900074,0.8301886792452831,0.5
SVM,0.8444783573806881,0.638010735900074,0.8113207547169812,0.4942528735632184
SVM,0.8444783573806881,0.638010735900074,0.8113207547169812,0.5
SVM,0.8444783573806881,0.638010735900074,0.8113207547169812,0.5058823529411764
SVM,0.8444783573806881,0.638010735900074,0.8113207547169812,0.5119047619047619
SVM,0.8444783573806881,0.638010735900074,0.8113207547169812,0.5180722891566265
SVM,0.8444783573806881,0.638010735900074,0.8113207547169812,0.524390243902439
SVM,0.8444783573806881,0.638010735900074,0.8113207547169812,0.5308641975308642
SVM,0.8444783573806881,0.638010735900074,0.8113207547169812,0.5375
SVM,0.8444783573806881,0.638010735900074,0.8113207547169812,0.5443037974683544
SVM,0.8444783573806881,0.638010735900074,0.8113207547169812,0.5512820512820513
SVM,0.8444783573806881,0.638010735900074,0.8113207547169812,0.5584415584415584
SVM,0.8444783573806881,0.638010735900074,0.8113207547169812,0.5657894736842105
SVM,0.8444783573806881,0.638010735900074,0.7924528301886793,0.56
SVM,0.8444783573806881,0.638010735900074,0.7924528301886793,0.5675675675675675
SVM,0.8444783573806881,0.638010735900074,0.7924528301886793,0.5753424657534246
SVM,0.8444783573806881,0.638010735900074,0.7735849056603774,0.5694444444444444
SVM,0.8444783573806881,0.638010735900074,0.7547169811320755,0.5633802816901409
SVM,0.8444783573806881,0.638010735900074,0.7547169811320755,0.5714285714285714
SVM,0.8444783573806881,0.638010735900074,0.7547169811320755,0.5797101449275363
SVM,0.8444783573806881,0.638010735900074,0.7547169811320755,0.5882352941176471
SVM,0.8444783573806881,0.638010735900074,0.7358490566037735,0.582089552238806
SVM,0.8444783573806881,0.638010735900074,0.7358490566037735,0.5909090909090909
SVM,0.8444783573806881,0.638010735900074,0.7169811320754716,0.5846153846153846
SVM,0.8444783573806881,0.638010735900074,0.6981132075471698,0.578125
SVM,0.8444783573806881,0.638010735900074,0.6981132075471698,0.5873015873015873
SVM,0.8444783573806881,0.638010735900074,0.6792452830188679,0.5806451612903226
SVM,0.8444783573806881,0.638010735900074,0.660377358490566,0.5737704918032787
SVM,0.8444783573806881,0.638010735900074,0.6415094339622641,0.5666666666666667
SVM,0.8444783573806881,0.638010735900074,0.6226415094339622,0.559322033898305
SVM,0.8444783573806881,0.638010735900074,0.6226415094339622,0.5689655172413793
SVM,0.8444783573806881,0.638010735900074,0.6226415094339622,0.5789473684210527
SVM,0.8444783573806881,0.638010735900074,0.6226415094339622,0.5892857142857143
SVM,0.8444783573806881,0.638010735900074,0.6037735849056604,0.5818181818181818
SVM,0.8444783573806881,0.638010735900074,0.5849056603773585,0.5740740740740741
SVM,0.8444783573806881,0.638010735900074,0.5849056603773585,0.5849056603773585
SVM,0.8444783573806881,0.638010735900074,0.5660377358490566,0.5769230769230769
SVM,0.8444783573806881,0.638010735900074,0.5660377358490566,0.5882352941176471
SVM,0.8444783573806881,0.638010735900074,0.5660377358490566,0.6
SVM,0.8444783573806881,0.638010735900074,0.5660377358490566,0.6122448979591837
SVM,0.8444783573806881,0.638010735900074,0.5471698113207547,0.6041666666666666
SVM,0.8444783573806881,0.638010735900074,0.5471698113207547,0.6170212765957447
SVM,0.8444783573806881,0.638010735900074,0.5283018867924528,0.6086956521739131
SVM,0.8444783573806881,0.638010735900074,0.5283018867924528,0.6222222222222222
SVM,0.8444783573806881,0.638010735900074,0.5283018867924528,0.6363636363636364
SVM,0.8444783573806881,0.638010735900074,0.5283018867924528,0.6511627906976745
SVM,0.8444783573806881,0.638010735900074,0.5094339622641509,0.6428571428571429
SVM,0.8444783573806881,0.638010735900074,0.49056603773584906,0.6341463414634146
SVM,0.8444783573806881,0.638010735900074,0.49056603773584906,0.65
SVM,0.8444783573806881,0.638010735900074,0.49056603773584906,0.6666666666666666
SVM,0.8444783573806881,0.638010735900074,0.4716981132075472,0.6578947368421053
SVM,0.8444783573806881,0.638010735900074,0.4716981132075472,0.6756756756756757
SVM,0.8444783573806881,0.638010735900074,0.4716981132075472,0.6944444444444444
SVM,0.8444783573806881,0.638010735900074,0.4716981132075472,0.7142857142857143
SVM,0.8444783573806881,0.638010735900074,0.4528301886792453,0.7058823529411765
SVM,0.8444783573806881,0.638010735900074,0.4528301886792453,0.7272727272727273
SVM,0.8444783573806881,0.638010735900074,0.4528301886792453,0.75
SVM,0.8444783573806881,0.638010735900074,0.4339622641509434,0.7419354838709677
SVM,0.8444783573806881,0.638010735900074,0.41509433962264153,0.7333333333333333
SVM,0.8444783573806881,0.638010735900074,0.39622641509433965,0.7241379310344828
SVM,0.8444783573806881,0.638010735900074,0.37735849056603776,0.7142857142857143
SVM,0.8444783573806881,0.638010735900074,0.3584905660377358,0.7037037037037037
SVM,0.8444783573806881,0.638010735900074,0.33962264150943394,0.6923076923076923
SVM,0.8444783573806881,0.638010735900074,0.32075471698113206,0.68
SVM,0.8444783573806881,0.638010735900074,0.32075471698113206,0.7083333333333334
